RefCat,AnnoConstruccion,Direccion
2083911PC9928C,2009,MAJUELO (ALVARADO)
2083912PC9928C,2009,MAJUELO (ALVARADO)
2083913PC9928C,2009,MAJUELO (ALVARADO)
2083914PC9928C,2009,MAJUELO (ALVARADO)
2083915PC9928C,2009,MAJUELO (ALVARADO)
2083916PC9928C,2009,MAJUELO (ALVARADO)
6938601PD6063H,2000,GRECIA
9786401PD6098F,1999,UR RIOCAYA
9786402PD6098F,2000,UR RIOCAYA
9786403PD6098F,1989,UR RIOCAYA
9787101PD6098F,2009,UR RIOCAYA
9886501PD6098F,2004,UR RIOCAYA
9886502PD6098F,1999,UR RIOCAYA
9886503PD6098F,2004,UR RIOCAYA
0089703PD6098H,1987,UR RIOCAYA
0089707PD6098H,1998,UR RIOCAYA
0089708PD6098H,2004,UR RIOCAYA
0089710PD6098H,2004,UR RIOCAYA
2058601PD7025G,2003,MORENO TORROBA
2058602PD7025G,1958,MORENO TORROBA
2058603PD7025G,1958,MORENO TORROBA
2058604PD7025G,2005,MORENO TORROBA
2058605PD7025G,1973,ELVAS
2059901PD7025G,1999,RUTA DE LA EXPO
2059901PD7025G,1999,RUTA DE LA EXPO
2059902PD7025G,2000,MORENO TORROBA
2059903PD7025G,1958,MORENO TORROBA
2059905PD7025G,1958,MORENO TORROBA
2059906PD7025G,1958,MORENO TORROBA
2059907PD7025G,2019,MORENO TORROBA
0089713PD6098H,1995,UR RIOCAYA
9888301PD6098H,2006,UR RIOCAYA
9888304PD6098H,1987,UR RIOCAYA
9888305PD6098H,2004,UR RIOCAYA
9888306PD6098H,2009,UR RIOCAYA
9888307PD6098H,2004,UR RIOCAYA
9990401PD6099B,2004,RIO CAYA AR-6
9990402PD6099B,2007,UR RIOCAYA
9990403PD6099B,2009,RIO CAYA AR-6
9990404PD6099B,2002,UR RIOCAYA
9990405PD6099B,2004,UR RIOCAYA
9990408PD6099B,1999,UR RIOCAYA
2059909PD7025G,1958,MORENO TORROBA
2059910PD7025G,1958,MORENO TORROBA
2059911PD7025G,1992,MORENO TORROBA
2059912PD7025G,2002,AMADEO VIVES
2059913PD7025G,2002,AMADEO VIVES
2059914PD7025G,2002,AMADEO VIVES
2059915PD7025G,2002,AMADEO VIVES
2059916PD7025G,2002,AMADEO VIVES
2059917PD7025G,2002,AMADEO VIVES
2059918PD7025G,2002,AMADEO VIVES
2059919PD7025G,2002,AMADEO VIVES
2059920PD7025G,2002,AMADEO VIVES
2059908PD7025G,1958,MORENO TORROBA
2059921PD7025G,2002,AMADEO VIVES
2059922PD7025G,2002,AMADEO VIVES
2059923PD7025G,2002,AMADEO VIVES
2059924PD7025G,2002,AMADEO VIVES
2059925PD7025G,2002,AMADEO VIVES
2059926PD7025G,1973,ELVAS
3405901PD7030E,1989,CORCHUELA
3405902PD7030E,2004,CORCHUELA
3405904PD7030E,0,CORCHUELA
